keyword,sentiment_score,category
crashing,-0.8,Negative
useless,-0.9,Negative
slow,-0.7,Negative
great,0.8,Positive
unacceptable,-0.9,Negative
urgent,-0.8,Negative
fast,0.7,Positive
broken,-0.8,Negative
awesome,0.9,Positive
frustrating,-0.7,Negative
immediately,-0.8,Negative
smooth,0.7,Positive
failure,-0.8,Negative
excellent,0.8,Positive
terrible,-0.9,Negative
helpful,0.7,Positive
stuck,-0.7,Negative
perfect,0.8,Positive
annoying,-0.7,Negative
fixed,0.6,Positive
issue_1,-0.7,Negative
issue_2,-0.8,Negative
issue_3,-0.6,Negative
issue_4,-0.8,Negative
issue_5,-0.9,Negative
issue_6,-0.8,Negative
issue_7,-0.6,Negative
issue_8,-0.8,Negative
issue_9,-0.8,Negative
issue_10,-0.8,Negative
issue_11,-0.7,Negative
issue_12,-0.7,Negative
issue_13,-0.8,Negative
issue_14,-0.8,Negative
issue_15,-0.8,Negative
issue_16,-0.9,Negative
issue_17,-0.7,Negative
issue_18,-0.7,Negative
issue_19,-0.7,Negative
issue_20,-0.8,Negative
issue_21,-0.8,Negative
issue_22,-0.7,Negative
issue_23,-0.8,Negative
issue_24,-0.9,Negative
issue_25,-0.7,Negative
issue_26,-0.7,Negative
issue_27,-0.9,Negative
issue_28,-0.7,Negative
issue_29,-0.8,Negative
issue_30,-0.8,Negative
issue_31,-0.7,Negative
issue_32,-0.8,Negative
issue_33,-0.8,Negative
issue_34,-0.6,Negative
issue_35,-0.6,Negative
issue_36,-0.7,Negative
issue_37,-0.8,Negative
issue_38,-0.8,Negative
issue_39,-0.7,Negative
issue_40,-0.7,Negative
good_1,0.7,Positive
good_2,0.8,Positive
good_3,0.7,Positive
good_4,0.8,Positive
good_5,0.9,Positive
good_6,0.8,Positive
good_7,0.9,Positive
good_8,0.8,Positive
good_9,0.9,Positive
good_10,0.6,Positive
good_11,0.6,Positive
good_12,0.9,Positive
good_13,0.6,Positive
good_14,0.7,Positive
good_15,0.8,Positive
good_16,0.9,Positive
good_17,0.8,Positive
good_18,0.7,Positive
good_19,0.8,Positive
good_20,0.8,Positive
good_21,0.7,Positive
good_22,0.9,Positive
good_23,0.7,Positive
good_24,0.9,Positive
good_25,0.8,Positive
good_26,0.6,Positive
good_27,0.7,Positive
good_28,0.9,Positive
good_29,0.7,Positive
good_30,0.6,Positive
good_31,0.6,Positive
good_32,0.7,Positive
good_33,0.7,Positive
good_34,0.8,Positive
good_35,0.9,Positive
good_36,0.7,Positive
good_37,0.7,Positive
good_38,0.8,Positive
good_39,0.7,Positive
good_40,0.9,Positive
